CsiNumber,Symbol,Name,Exchange,IsActive,StartDate,EndDate,ConversionFactor,SwitchCfDate,PreSwitchCf,SubExchange,ExchangeSymbol
1005,BWS,"Beta Well Services",AMEX,0,1993-02-01,1994-11-30,-4,,,,BWS
1199,CLQ,"Cold Metal Products Inc",AMEX,0,1994-03-22,2002-12-27,2,2001-01-29,-4,,CLQ
1237,CBJ,"Cambior Inc",AMEX,0,1994-06-27,2006-11-17,2,2001-01-29,-4,,CBJ
1310,JQH,"Hammon Hotels",AMEX,0,1994-11-17,2005-09-16,2,2001-01-29,-4,,JQH
1323,ENA,"Enova Systems Inc",AMEX,0,1994-12-09,2012-10-26,2,2001-04-09,-4,,ENA
1366,FIT,"Health Fitness",AMEX,0,1994-11-15,2010-03-10,2,2001-04-09,-4,,FIT
1374,IION,"Ion Media Net A",AMEX,0,1994-11-08,2009-10-15,2,2001-01-29,-4,,IION
1447,ONM,"Oncormed Inc",AMEX,0,1994-09-29,1998-09-29,-4,,,,ONM
1694,CPD,"Caraco Pharmaceutical",AMEX,0,1994-05-11,2011-06-14,2,2001-04-09,-4,,CPD
1745,IDH,"IPI Inc",AMEX,0,1994-05-27,2002-02-06,2,2001-01-29,-4,,IDH
1755,TGB,"Taseko Mines Ltd",AMEX,1,1992-03-25,2021-08-03,2,2001-04-09,-4,NYSE Mkt,TGB
1764,IGR,"Integra Inc",AMEX,0,1994-06-07,2002-09-05,2,2001-01-29,-4,,IGR
1766,KBK,"KBK Capital Corp",AMEX,0,1994-06-09,2002-10-14,2,2001-01-29,-4,,KBK
2035,CKT,"Crocker Reality Investors",AMEX,0,1993-01-25,1996-09-24,-4,,,,CKT
2067,BAK,"Clinicorp Inc",AMEX,0,1992-01-15,1995-10-17,-4,,,,BAK
2104,AVF,"Advanced Financial",AMEX,0,1992-06-11,1997-01-07,-4,,,,AVF
2110,AIM,"Aerosonics Corp",AMEX,0,1984-09-07,2013-06-10,2,2001-01-29,-4,,AIM
2142,TFH,"Transfinancial Holdings Inc",AMEX,0,1991-11-13,2000-06-09,-4,,,,TFH
2177,TTG,"Biodynamics Intl Inc",AMEX,0,1988-04-27,2008-03-07,2,2001-01-29,-4,,TTG
2207,CVU,"CPI Aerostructures Inc",AMEX,1,1992-09-17,2021-08-03,2,2001-01-29,-4,NYSE Mkt,CVU
2220,HPPS,"Healthy Planet Products",AMEX,0,1993-02-19,2002-10-30,2,2001-01-29,-4,,HPPS
2275,JWG,"JW Genesis Financial Corp",AMEX,0,1993-03-04,2001-01-02,-4,,,,JWG
2300,XLG,"Price Legacy",AMEX,0,1994-12-21,2001-09-18,2,2001-04-09,-4,,XLG
2323,FEB,"Far East Natl Bank",AMEX,0,1993-03-04,1997-08-15,-4,,,,FEB
2330,FAH,"First American Health",AMEX,0,1993-03-04,2001-06-01,2,2001-01-29,-4,,FAH
2366,GRZ,"Gold Reserve Inc Cl A",AMEX,0,1993-03-11,2013-03-14,2,2001-04-09,-4,,GRZ
2368,PN,"Pinpoint Retail Solution",AMEX,0,1993-03-11,1995-06-16,-4,,,,PN
2389,OOC,"OEC Compression Corp",AMEX,0,1993-03-17,2001-03-20,2,2001-01-29,-4,,OOC
2442,BLM,"Blimpie International Inc",AMEX,0,1993-03-23,2002-01-25,2,2001-01-29,-4,,BLM
2515,ENR,"Envirotest Systems Corp Cl A",AMEX,0,1993-04-01,1998-10-16,-4,,,,ENR
2517,UXP,"US Exploration Inc",AMEX,0,1993-04-01,2004-02-10,2,2001-01-29,-4,,UXP
2526,SHM,"Sheffield Pharmaceuticals",AMEX,0,1993-04-06,2003-06-10,2,2001-01-29,-4,,SHM
2564,WFI,"Winton Financial Corp",AMEX,0,1993-04-23,2005-01-03,2,2001-01-29,-4,,WFI
2626,WTT,"Wireless Telecom Group  Inc",AMEX,1,1993-05-24,2021-08-03,2,2001-01-29,-4,NYSE Mkt,WTT
2638,HWD,"Hollywood Casino Corp",AMEX,0,1993-05-28,2003-03-03,2,2001-01-29,-4,,HWD
2675,SRY,"Surety Capital Corp",AMEX,0,1993-06-14,2000-03-31,-4,,,,SRY
2692,GNK,"Globalink Inc",AMEX,0,1993-06-21,1998-09-30,-4,,,,GNK
2702,WMCO,"William Control Inc",AMEX,0,1993-06-22,2012-12-17,2,2001-04-09,-4,,WMCO
2773,BIW,"BIW Limited",AMEX,0,1992-08-03,2008-01-25,2,2001-01-29,-4,,BIW
2794,MG,"Morgan Group Class A",AMEX,0,1993-08-02,2002-10-18,2,2001-01-29,-4,,MG
2828,UFX,"Uniflex Inc",AMEX,0,1993-08-09,1999-06-30,-4,,,,UFX
2831,DVC,"Davco Restaurants Inc",AMEX,0,1993-08-10,1998-04-02,-4,,,,DVC
2832,UPX,"Unapix Entertainment Inc",AMEX,0,1993-08-10,2000-12-20,-4,,,,UPX
2863,PQP,"Quality Products Inc",AMEX,0,1993-08-23,1995-03-23,-4,,,,PQP
2944,AHI,"Allied Holding Inc",AMEX,0,1993-09-29,2005-08-18,2,2001-01-29,-4,,AHI
2951,PMB,"Premier Bancshares Inc",AMEX,0,1995-01-26,2000-01-13,-4,,,,PMB
2973,DCT,"Digital Communication",AMEX,0,1993-10-11,1998-04-24,-4,,,,DCT
3001,ALC,"ALC Commun Corp",AMEX,0,1991-09-05,1995-08-16,-4,,,,ALC
3002,AEN,"AMC Entertainment Inc",AMEX,0,1984-09-07,2004-12-23,2,2001-01-29,-4,,AEN
3003,SAU,"US Alcohol Testing",AMEX,0,1991-12-31,1997-09-23,-4,,,,SAU
